PostalCode;AdmArea;District;Address;X_WGS84;Y_WGS84
117041;Юго-Западный административный округ;район Южное Бутово;улица Адмирала Лазарева, дом 35, корпус 1;37,525929;55,542714
117042;Юго-Западный административный округ;район Южное Бутово;Венёвская улица, дом 3;37,545501;55,54811
105043;Восточный административный округ;район Измайлово;6-я Парковая улица, дом 13;37,790019;55,790837
109044;Центральный административный округ;Таганский район;2-я Дубровская улица, дом 1;37,670574;55,729504
107045;Центральный административный округ;Мещанский район;Сретенский бульвар, дом 5;37,633527;55,766879
125047;Центральный административный округ;Тверской район;1-я Тверская-Ямская улица, дом 6;37,59394;55,771594
119048;Центральный административный округ;район Хамовники;Усачёва улица, дом 29, корпус 9;37,562295;55,72338
119049;Центральный административный округ;район Якиманка;Донская улица, дом 3;37,610565;55,726557
127051;Центральный административный округ;Тверской район;Цветной бульвар, дом 21;37,620579;55,772185
109052;Юго-Восточный административный округ;Нижегородский район;Нижегородская улица, дом 92, корпус 1;37,721188;55,730655
107053;Центральный административный округ;Красносельский район;улица Маши Порываевой, дом 36;37,649278;55,773536
115054;Центральный административный округ;район Замоскворечье;Дубининская улица, дом 11/17, строение 2;37,638532;55,727772
127055;Центральный административный округ;Тверской район;Новослободская улица, дом 49/2;37,593458;55,786518
123056;Центральный административный округ;Пресненский район;Большая Грузинская улица, дом 62;37,585725;55,772657
125057;Северный административный округ;район Сокол;Ленинградский проспект, дом 69;37,517695;55,802851
121059;Западный административный округ;район Дорогомилово;набережная Тараса Шевченко, дом 1/2;37,571703;55,745933
123060;Северо-Западный административный округ;район Щукино;улица Маршала Конева, дом 12;37,486675;55,795947
107061;Восточный административный округ;район Преображенское;Большая Черкизовская улица, дом 2;37,716051;55,795485
105062;Центральный административный округ;Басманный район;улица Покровка, дом 40, строение 1;37,652349;55,761987
129063;Центральный административный округ;Мещанский район;проспект Мира, дом 72;37,636371;55,788882
105064;Центральный административный округ;Басманный район;улица Земляной Вал, дом 2/50;37,656189;55,763184
107065;Восточный административный округ;район Гольяново;Уссурийская улица, дом 11, корпус 1;37,820622;55,824815
105066;Центральный административный округ;Басманный район;Нижняя Красносельская улица, дом 43;37,67498;55,773776
115068;Южный административный округ;Даниловский район;улица Ленинская Слобода, дом 4/10;37,661949;55,712543
121069;Центральный административный округ;район Арбат;Поварская улица, дом 29/36;37,588252;55,756353
119071;Южный административный округ;Донской район;Ленинский проспект, дом 25;37,595165;55,716891
119072;Центральный административный округ;район Якиманка;улица Серафимовича, дом 2;37,612079;55,744192
109074;Центральный административный округ;Таганский район;Китайгородский проезд, дом 7;37,63531;55,751393
129075;Северо-Восточный административный округ;Останкинский район;Аргуновская улица, дом 4;37,620911;55,81407
107076;Восточный административный округ;район Преображенское;улица Богородский Вал, дом 6;37,704547;55,80242
105077;Восточный административный округ;район Восточное Измайлово;Средняя Первомайская улица, дом 19;37,810468;55,795411
107078;Центральный административный округ;Красносельский район;Новая Басманная улица, дом 15;37,65863;55,769955
125080;Северо-Западный административный округ;район Покровское-Стрешнево;Волоколамское шоссе, дом 15/22;37,493192;55,80879
127081;Северо-Восточный административный округ;район Южное Медведково;проезд Дежнёва, дом 34;37,630897;55,87058
105082;Центральный административный округ;Басманный район;Бакунинская улица, дом 26/30;37,685177;55,774557
127083;Северный административный округ;Савёловский район;улица Верхняя Масловка, дом 21;37,560105;55,795739
129085;Северо-Восточный административный округ;Останкинский район;проспект Мира, дом 97;37,63638;55,808312
121087;Западный административный округ;район Филёвский Парк;Багратионовский проезд, дом 1;37,511803;55,745565
115088;Юго-Восточный административный округ;Южнопортовый район;Шарикоподшипниковская улица, дом 32;37,676188;55,716392
129090;Центральный административный округ;Мещанский район;улица Гиляровского, дом 1;37,630166;55,774151
127091;Северо-Восточный административный округ;район Марфино;улица Дубовой Рощи, дом 25, строение 2;37,6052;55,818501
115093;Центральный административный округ;район Замоскворечье;Большая Серпуховская улица, дом 40/42;37,62655;55,723239
105094;Юго-Восточный административный округ;район Лефортово;улица Госпитальный Вал, дом 5, корпус 18;37,705207;55,774971
115095;Центральный административный округ;район Замоскворечье;Пятницкая улица, дом 54;37,626586;55,734014
121096;Западный административный округ;район Филёвский Парк;улица Олеко Дундича, дом 7, корпус 1;37,494809;55,741253
109097;Центральный административный округ;Тверской район;улица Ильинка, дом 9;37,626439;55,755396
123098;Северо-Западный административный округ;район Щукино;улица Маршала Новикова, дом 5;37,468305;55,801674
121099;Центральный административный округ;район Арбат;Смоленская площадь, дом 13/21;37,582091;55,749288
123100;Центральный административный округ;Пресненский район;улица Сергея Макеева, дом 2;37,550406;55,757209
123102;Центральный административный округ;Пресненский район;Малая Бронная улица, дом 24, корпус 4;37,595285;55,763283
123103;Северо-Западный административный округ;район Хорошёво-Мнёвники;Живописная улица, дом 12;37,456796;55,784284
123104;Центральный административный округ;Пресненский район;Большая Бронная улица, дом 15/8;37,600264;55,76277
117105;Южный административный округ;Донской район;Варшавское шоссе, дом 18, корпус 2;37,620195;55,691284
127106;Северо-Восточный административный округ;район Марфино;Гостиничная улица, дом 9Б;37,579533;55,846578
121108;Западный административный округ;район Фили-Давыдково;Кастанаевская улица, дом 25;37,483146;55,736025
129110;Центральный административный округ;Мещанский район;проспект Мира, дом 51;37,634198;55,784013
